City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.16,-70.91,42.8,56,75,24.16,CL,1573252392
1,goderich,43.74,-81.71,34.0,86,77,5.01,CA,1573252967
2,ushuaia,-54.81,-68.31,39.2,69,75,28.86,AR,1573252211
3,haines junction,60.75,-137.51,19.54,95,97,7.52,CA,1573252423
4,kholtoson,50.3,103.31,25.27,89,17,2.93,RU,1573252967
5,katsuura,33.93,134.5,48.2,87,20,10.29,JP,1573252396
6,mahebourg,-20.41,57.7,68.0,82,20,6.93,MU,1573252411
7,cape town,-33.93,18.42,66.0,63,99,6.93,ZA,1573252401
8,saint-leu,-21.15,55.28,73.4,69,75,5.82,RE,1573252967
9,whitianga,-36.83,175.7,71.01,79,50,5.99,NZ,1573252968
10,avarua,-21.21,-159.78,77.0,73,92,11.41,CK,1573252408
11,manggar,-2.88,108.27,83.35,66,43,4.36,ID,1573252968
12,hermanus,-34.42,19.24,64.99,76,100,8.01,ZA,1573252393
13,jega,12.22,4.38,79.68,22,0,4.9,NG,1573252877
14,thompson,55.74,-97.86,14.0,66,90,5.82,CA,1573252208
15,yellowknife,62.45,-114.38,14.0,78,75,10.29,CA,1573252418
16,wainwright,52.84,-110.86,31.51,93,100,8.99,CA,1573252865
17,hithadhoo,-0.6,73.08,81.61,76,8,9.15,MV,1573252402
18,kisangani,0.52,25.21,70.59,97,92,1.14,CD,1573252969
19,puerto ayora,-0.74,-90.35,77.0,69,75,10.29,EC,1573252410
20,rikitea,-23.12,-134.97,73.65,78,99,11.86,PF,1573252400
21,barrow,-38.31,-60.23,54.55,73,100,8.19,AR,1573252406
22,castro,-42.48,-73.76,57.2,58,59,8.05,CL,1573252283
23,bluff,-23.58,149.07,83.19,21,0,11.7,AU,1573252392
24,kodiak,39.95,-94.76,44.01,38,75,14.99,US,1573252396
25,butaritari,3.07,172.79,84.65,63,100,6.71,KI,1573252399
26,severo-kurilsk,50.68,156.12,28.65,89,96,13.15,RU,1573252397
27,hervey bay,-25.3,152.85,82.4,23,0,17.22,AU,1573252970
28,narrabri,-30.33,149.78,62.6,29,40,18.34,AU,1573252970
29,qaanaaq,77.48,-69.36,-4.69,58,0,6.26,GL,1573252395
30,guerrero negro,27.97,-114.04,73.4,51,9,14.23,MX,1573252970
31,tezu,27.93,96.16,65.95,56,97,1.88,IN,1573252970
32,kruisfontein,-34.0,24.73,51.6,90,29,5.35,ZA,1573252970
33,provideniya,64.42,-173.23,27.82,97,100,8.79,RU,1573252466
34,grants,35.15,-107.85,60.8,17,1,8.05,US,1573252971
35,inirida,3.87,-67.92,76.01,93,94,0.78,CO,1573252479
36,bredasdorp,-34.53,20.04,63.0,72,100,18.34,ZA,1573252411
37,ponta do sol,-20.63,-46.0,67.69,90,100,4.74,BR,1573252393
38,pangnirtung,66.15,-65.72,24.8,49,40,6.93,CA,1573252469
39,hobart,-42.88,147.33,51.01,70,75,16.11,AU,1573252119
40,gemena,3.25,19.78,73.0,83,68,1.57,CD,1573252972
